"captured_at"	"relative_path"	"length"	"last_write_time"	"sha256"
"2026-07-02T14:12:52.1576057-04:00"	"existing-output-inventory.tsv"	"3774"	"2026-07-01T21:41:17.7213997-04:00"	"F96022C184DD2DD6BEB0F58BC81B84E74A108AAE2FCB52BC1F8EB0BBFD7FD6C0"
"2026-07-02T14:12:52.1656106-04:00"	"manifest.tsv"	"3121"	"2026-07-02T14:12:17.1613459-04:00"	"59A1EEE60E5FA992A16ED08E3C1B5A02B603DBDAC224E9F36CD43D3411634ADA"
"2026-07-02T14:12:52.1786058-04:00"	"README.md"	"2212"	"2026-07-01T21:45:30.2046190-04:00"	"EEC7FD05DDEDD4A11FD22695D29114E036559E9858DB6F850D4C59876E393AF5"
"2026-07-02T14:12:52.1886061-04:00"	"RUN_INDEX.md"	"3418"	"2026-07-02T14:12:41.6525718-04:00"	"0377B863C65E717C4977F2F272573AE3D6EA08D9FC4C808B7A7915CE7DB34A50"
"2026-07-02T14:12:52.1996139-04:00"	"imported\MM3E_3D_RENDERER_REPORT.md"	"20127"	"2026-07-01T21:23:33.9203045-04:00"	"069B772C3057CFD8AA4F2C95BF8152FD0C5B120D73332DE38867E2655DF25075"
"2026-07-02T14:12:52.2121275-04:00"	"imported\experiments\PRIMITIVE_SIM_EXPERIMENT_REPORT.md"	"16129"	"2026-07-01T21:10:06.2976294-04:00"	"24B4BFBA303AC8F471CF7C565EE7337DC4005FE6300A7102604DF850EAA41CEA"
"2026-07-02T14:12:52.2251274-04:00"	"imported\experiments\discovery-tpu\CROSS_DOMAIN_TRANSFER_NOTES.md"	"45641"	"2026-07-01T19:03:27.1400375-04:00"	"0CC401C7FED0AE765E41AF6746292473B1B6FD7031F25A5FE96F025ABC47B239"
"2026-07-02T14:12:52.2381269-04:00"	"imported\experiments\discovery-tpu\WRITEUP.md"	"18255"	"2026-07-01T15:14:47.2235598-04:00"	"B9199FF6390A7A96B546FD45FF2A161BF123496EEF809EDFAFA519996D1BB37E"
"2026-07-02T14:12:52.2391253-04:00"	"imported\experiments\engine-mix-arc\arc_mix2.err"	"0"	"2026-07-01T15:14:47.3287599-04:00"	"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"2026-07-02T14:12:52.2401258-04:00"	"imported\experiments\engine-mix-arc\arc_mix2.log"	"12540"	"2026-07-01T15:14:47.3177608-04:00"	"F9EA619EEBD16B4946449EEF5EE6A39BAA8BF196582D5FE655EE7E78B4F4E80B"
"2026-07-02T14:12:52.2501266-04:00"	"imported\experiments\engine-mix-arc\RUN_NOTES.md"	"2205"	"2026-07-01T20:54:21.4499641-04:00"	"BCF10B39A2E36E01F260A15FE1FF3AB06343F12C6237214CAC54439538D3EA8B"
"2026-07-02T14:12:52.2601278-04:00"	"imported\experiments\rf-crypto-arc\RUN_NOTES.md"	"3234"	"2026-07-01T20:57:33.9979368-04:00"	"970B179F6220435DBDAB765A2991A8E969A7F4F9A4478D021F9DEF2DAE960EA9"
